rounds,seed,samples,epochs,random_guess_baseline,majority_baseline,train_accuracy,test_accuracy,test_accuracy_minus_baseline,train_test_gap
2,1,2000,4,0.5000,0.5212,1.0000,1.0000,0.5000,0.0000
2,2,2000,4,0.5000,0.5125,1.0000,1.0000,0.5000,0.0000
2,3,2000,4,0.5000,0.5075,1.0000,1.0000,0.5000,0.0000
2,4,2000,4,0.5000,0.5112,1.0000,0.9975,0.4975,0.0025
2,5,2000,4,0.5000,0.5050,1.0000,1.0000,0.5000,0.0000
4,1,2000,4,0.5000,0.5212,0.5419,0.5238,0.0238,0.0181
4,2,2000,4,0.5000,0.5125,0.5466,0.4938,-0.0062,0.0528
4,3,2000,4,0.5000,0.5075,0.5441,0.4925,-0.0075,0.0516
4,4,2000,4,0.5000,0.5112,0.5419,0.4950,-0.0050,0.0469
4,5,2000,4,0.5000,0.5050,0.5428,0.4750,-0.0250,0.0678
8,1,2000,4,0.5000,0.5212,0.5516,0.5162,0.0162,0.0353
8,2,2000,4,0.5000,0.5125,0.5431,0.4700,-0.0300,0.0731
8,3,2000,4,0.5000,0.5075,0.5459,0.5262,0.0262,0.0197
8,4,2000,4,0.5000,0.5112,0.5278,0.4863,-0.0137,0.0416
8,5,2000,4,0.5000,0.5050,0.5378,0.5050,0.0050,0.0328
16,1,2000,4,0.5000,0.5212,0.5537,0.4900,-0.0100,0.0637
16,2,2000,4,0.5000,0.5125,0.5581,0.4700,-0.0300,0.0881
16,3,2000,4,0.5000,0.5075,0.5563,0.5212,0.0212,0.0350
16,4,2000,4,0.5000,0.5112,0.5537,0.4925,-0.0075,0.0612
16,5,2000,4,0.5000,0.5050,0.5537,0.4938,-0.0062,0.0600
2,1,2000,8,0.5000,0.5212,1.0000,1.0000,0.5000,0.0000
2,2,2000,8,0.5000,0.5125,1.0000,1.0000,0.5000,0.0000
2,3,2000,8,0.5000,0.5075,1.0000,1.0000,0.5000,0.0000
2,4,2000,8,0.5000,0.5112,1.0000,0.9975,0.4975,0.0025
2,5,2000,8,0.5000,0.5050,1.0000,1.0000,0.5000,0.0000
4,1,2000,8,0.5000,0.5212,0.5522,0.5162,0.0162,0.0359
4,2,2000,8,0.5000,0.5125,0.5478,0.5062,0.0062,0.0416
4,3,2000,8,0.5000,0.5075,0.5463,0.5125,0.0125,0.0338
4,4,2000,8,0.5000,0.5112,0.5566,0.4888,-0.0112,0.0678
4,5,2000,8,0.5000,0.5050,0.5344,0.4800,-0.0200,0.0544
