rounds,input_bit_index,input_bit_mode,output_bit_j,output_bit_k,samples,joint_11_count,flip_rate_j,flip_rate_k,joint_rate_11,expected_joint_rate_independent,covariance,pearson_correlation,pearson_defined,abs_correlation
12,250,fixed,225,228,5000,469,0.156000,0.501800,0.093800,0.078281,0.01551920,0.08553988,True,0.08553988
12,250,fixed,225,231,5000,5,0.156000,0.003000,0.001000,0.000468,0.00053200,0.02680834,True,0.02680834
12,250,fixed,225,254,5000,290,0.156000,0.243000,0.058000,0.037908,0.02009200,0.12910366,True,0.12910366
12,250,fixed,225,255,5000,574,0.156000,0.478800,0.114800,0.074693,0.04010720,0.22126338,True,0.22126338
12,250,fixed,228,231,5000,7,0.501800,0.003000,0.001400,0.001505,-0.00010540,-0.00385447,True,0.00385447
12,250,fixed,228,254,5000,595,0.501800,0.243000,0.119000,0.121937,-0.00293740,-0.01369761,True,0.01369761
12,250,fixed,228,255,5000,1160,0.501800,0.478800,0.232000,0.240262,-0.00826184,-0.03307732,True,0.03307732
12,250,fixed,231,254,5000,3,0.003000,0.243000,0.000600,0.000729,-0.00012900,-0.00549959,True,0.00549959
12,250,fixed,231,255,5000,8,0.003000,0.478800,0.001600,0.001436,0.00016360,0.00598819,True,0.00598819
12,250,fixed,254,255,5000,1166,0.243000,0.478800,0.233200,0.116348,0.11685160,0.54538641,True,0.54538641
12,254,fixed,225,228,5000,1040,0.246200,0.908000,0.208000,0.223550,-0.01554960,-0.12488500,True,0.12488500
12,254,fixed,225,231,5000,521,0.246200,0.360800,0.104200,0.088829,0.01537104,0.07429841,True,0.07429841
12,254,fixed,225,254,5000,612,0.246200,0.500400,0.122400,0.123198,-0.00079848,-0.00370700,True,0.00370700
12,254,fixed,225,255,5000,72,0.246200,0.028000,0.014400,0.006894,0.00750640,0.10562032,True,0.10562032
12,254,fixed,228,231,5000,1498,0.908000,0.360800,0.299600,0.327606,-0.02800640,-0.20177567,True,0.20177567
12,254,fixed,228,254,5000,2285,0.908000,0.500400,0.457000,0.454363,0.00263680,0.01824612,True,0.01824612
12,254,fixed,228,255,5000,67,0.908000,0.028000,0.013400,0.025424,-0.01202400,-0.25217381,True,0.25217381
12,254,fixed,231,254,5000,908,0.360800,0.500400,0.181600,0.180544,0.00105568,0.00439654,True,0.00439654
12,254,fixed,231,255,5000,60,0.360800,0.028000,0.012000,0.010102,0.00189760,0.02395195,True,0.02395195
12,254,fixed,254,255,5000,62,0.500400,0.028000,0.012400,0.014011,-0.00161120,-0.01953293,True,0.01953293
13,224,fixed,225,228,5000,536,0.305800,0.310800,0.107200,0.095043,0.01215736,0.05701184,True,0.05701184
13,224,fixed,225,231,5000,328,0.305800,0.165400,0.065600,0.050579,0.01502068,0.08774484,True,0.08774484
13,224,fixed,225,254,5000,784,0.305800,0.499000,0.156800,0.152594,0.00420580,0.01825654,True,0.01825654
