rounds,input_bit_index,output_bit_index,seed,rng_seed,samples,flip_count,flip_rate,baseline_delta
13,8,255,3,20263520,500,242,0.484000,-0.016000
13,8,255,4,20264520,500,244,0.488000,-0.012000
13,8,255,5,20265520,500,231,0.462000,-0.038000
13,8,255,6,20266520,500,236,0.472000,-0.028000
13,8,255,7,20267520,500,258,0.516000,0.016000
13,8,255,8,20268520,500,252,0.504000,0.004000
13,8,255,9,20269520,500,237,0.474000,-0.026000
13,8,255,10,20270520,500,252,0.504000,0.004000
13,8,255,11,20271520,500,247,0.494000,-0.006000
13,8,255,12,20272520,500,260,0.520000,0.020000
13,8,255,13,20273520,500,253,0.506000,0.006000
13,8,255,14,20274520,500,250,0.500000,0.000000
13,8,255,15,20275520,500,244,0.488000,-0.012000
13,8,255,16,20276520,500,239,0.478000,-0.022000
13,8,255,17,20277520,500,260,0.520000,0.020000
13,8,255,18,20278520,500,280,0.560000,0.060000
13,8,255,19,20279520,500,256,0.512000,0.012000
13,8,255,20,20280520,500,254,0.508000,0.008000
13,9,255,1,20261521,500,242,0.484000,-0.016000
13,9,255,2,20262521,500,254,0.508000,0.008000
13,9,255,3,20263521,500,237,0.474000,-0.026000
13,9,255,4,20264521,500,251,0.502000,0.002000
13,9,255,5,20265521,500,239,0.478000,-0.022000
13,9,255,6,20266521,500,246,0.492000,-0.008000
13,9,255,7,20267521,500,250,0.500000,0.000000
13,9,255,8,20268521,500,242,0.484000,-0.016000
13,9,255,9,20269521,500,244,0.488000,-0.012000
13,9,255,10,20270521,500,267,0.534000,0.034000
13,9,255,11,20271521,500,254,0.508000,0.008000
13,9,255,12,20272521,500,238,0.476000,-0.024000
13,9,255,13,20273521,500,253,0.506000,0.006000
13,9,255,14,20274521,500,266,0.532000,0.032000
13,9,255,15,20275521,500,239,0.478000,-0.022000
13,9,255,16,20276521,500,245,0.490000,-0.010000
13,9,255,17,20277521,500,250,0.500000,0.000000
13,9,255,18,20278521,500,237,0.474000,-0.026000
13,9,255,19,20279521,500,260,0.520000,0.020000
13,9,255,20,20280521,500,244,0.488000,-0.012000
13,10,255,1,20261522,500,265,0.530000,0.030000
13,10,255,2,20262522,500,222,0.444000,-0.056000
13,10,255,3,20263522,500,241,0.482000,-0.018000
13,10,255,4,20264522,500,261,0.522000,0.022000
13,10,255,5,20265522,500,252,0.504000,0.004000
13,10,255,6,20266522,500,249,0.498000,-0.002000
13,10,255,7,20267522,500,246,0.492000,-0.008000
13,10,255,8,20268522,500,234,0.468000,-0.032000
13,10,255,9,20269522,500,247,0.494000,-0.006000
13,10,255,10,20270522,500,246,0.492000,-0.008000
13,10,255,11,20271522,500,256,0.512000,0.012000
13,10,255,12,20272522,500,250,0.500000,0.000000
13,10,255,13,20273522,500,250,0.500000,0.000000
13,10,255,14,20274522,500,252,0.504000,0.004000
13,10,255,15,20275522,500,232,0.464000,-0.036000
13,10,255,16,20276522,500,239,0.478000,-0.022000
13,10,255,17,20277522,500,259,0.518000,0.018000
13,10,255,18,20278522,500,233,0.466000,-0.034000
13,10,255,19,20279522,500,278,0.556000,0.056000
13,10,255,20,20280522,500,257,0.514000,0.014000
13,11,255,1,20261523,500,271,0.542000,0.042000
13,11,255,2,20262523,500,251,0.502000,0.002000
13,11,255,3,20263523,500,261,0.522000,0.022000
